nx	ny	nz	n2x	n2y	n2z	class_view
c	c	c	c	c	c	d
0.320351	0.388499	-0.863970	0.513021	0.086140	-0.854043	window
0.164491	-0.986378	-0.001213	0.931959	0.123562	-0.340859	window
-0.041932	-0.151600	-0.987552	-0.982779	0.161453	-0.089881	window
-0.516811	-0.827331	-0.220069	-0.657225	0.621968	-0.425688	window
0.321279	0.340337	-0.883714	-0.504318	-0.023288	-0.863204	window
0.984338	0.174193	-0.027120	0.912183	0.161049	-0.376809	window
-0.052000	-0.084337	-0.995080	-0.990657	0.108557	-0.082551	robot
-0.587234	-0.807672	-0.053126	-0.538872	0.733219	-0.414737	vent
0.306927	0.294526	-0.905014	-0.515161	0.037341	-0.856280	robot
0.009539	0.066643	-0.997731	-0.236092	0.220702	-0.946336	window
-0.010855	-0.013462	-0.999850	-0.099269	0.059004	-0.993310	robot
-0.512293	-0.858280	-0.030193	-0.666256	-0.605877	-0.434760	robot
-0.268691	-0.144522	-0.952323	-0.459480	0.088820	-0.883736	vent
0.024414	0.056619	-0.998097	-0.195717	0.208830	-0.958168	window
-0.107365	-0.110954	-0.988009	-0.259052	0.060057	-0.963994	robot
-0.526214	-0.847853	-0.065148	0.651002	0.620731	-0.436908	robot
0.265433	0.185468	-0.946122	-0.494145	0.094721	-0.864204	robot
0.021440	0.090844	-0.995634	-0.195413	0.290675	-0.936655	robot
-0.011600	-0.201086	-0.979505	-0.157302	-0.104547	-0.982001	robot
-0.538504	-0.838585	-0.082389	-0.714291	-0.530155	-0.456863	vent
-0.218741	-0.106501	-0.969954	-0.447461	0.091719	-0.889588	vent
0.059768	0.032120	-0.997695	-0.169947	0.205128	-0.963867	robot
0.001531	-0.152040	-0.988373	-0.133383	-0.078160	-0.987978	robot
-0.526376	-0.849635	-0.032381	0.660395	0.640078	-0.392655	vent
-0.248004	-0.022808	-0.968490	-0.525622	0.053825	-0.849014	vent
0.126882	0.004260	-0.991909	-0.081608	0.220621	-0.971940	vent
0.026485	-0.028553	-0.999241	-0.077501	0.032209	-0.996472	vent
-0.521608	-0.850273	-0.070440	-0.678776	-0.626701	-0.382764	vent
-0.215075	0.062611	-0.974589	-0.514942	0.114151	-0.849590	vent
0.088303	-0.007371	-0.996066	-0.123120	0.197692	-0.972502	robot
-0.012803	0.039432	-0.999140	-0.170019	0.069873	-0.982960	vent
-0.527400	-0.844192	-0.095858	-0.674443	-0.636736	-0.373757	vent
-0.237318	-0.034179	-0.970831	-0.502781	0.064628	-0.861994	vent
0.018400	0.048053	-0.998675	-0.198185	0.186184	-0.962319	vent
-0.020578	0.129135	-0.991413	-0.186563	0.164310	-0.968605	vent
-0.502098	-0.862885	-0.057679	0.636364	0.692305	-0.340227	vent
-0.246335	-0.008129	-0.969151	-0.462613	0.069148	-0.883860	vent
0.036970	0.063436	-0.997301	-0.171997	0.194082	-0.965789	vent
0.128439	-0.991680	-0.008575	-0.224937	0.154557	-0.962037	vent
-0.527835	-0.849216	-0.014903	0.663761	0.636092	-0.393456	vent
-0.276728	0.027642	-0.960551	-0.490940	-0.004624	-0.871181	vent
